"bill_id","direct_democracy","debate_type","electoral_year","international_treaty","fcparty_pole","loglength","modification_existing_law","parliament_drafter","legislature","proposal_total_bills","institutional_type","bill_priority_council","log_media_attention","mean_n_bills_parallel_treatment","CAP_majortopic","type_direct_democracy","parliamentary_review_duration_days","length_words_input","bill_parl_start_date","bill_parl_decision_date","europeanized_bill","proposal_related_department","dissimilarity_n2_rep"
"19900257-1","yes","intermediate",0,0,0,4.5325994932,"yes",1,45,1,"federal_law","CN/NC",2.3978952728,104.2,9,"optional",1380,93,"1993-09-09","1997-06-20",0,"DFJP",0.735849056603774
"19900273-1","yes","narrow",0,0,0,5.5174528965,"yes",1,45,1,"federal_law","CN/NC",2.3978952728,103.4,20,"optional",1142,249,"1994-08-25","1997-10-10",0,"ChF",0.686274509803922
"19930053-1","yes","broad",0,0,1,8.228176896,"no",0,45,1,"federal_law","CE/SC",2.3978952728,109.2,7,"optional",927,3745,"1993-06-07","1995-12-21",1,"DFI",0.471254355400697
"19930066-1","yes","intermediate",0,0,0,7.5283317667,"no",0,45,2,"federal_law","CN/NC",0,106.6,2,"optional",1024,1860,"1993-09-01","1996-06-21",0,"ChF",0.696774193548387
"19930452-1","yes","intermediate",0,0,0,3.36729583,"yes",1,45,1,"constitutional_amendment","CN/NC",0,103.4,20,"mandatory",1807,29,"1993-10-28","1998-10-09",0,"ChF",0.619047619047619
"19930462-1","yes","no debate",0,0,0,5.9914645471,"yes",1,45,1,"federal_law","CN/NC",2.3978952728,86.9,13,"optional",302,400,"1995-08-24","1996-06-21",0,"DFI",0.425882352941176
"19940013-1","yes","intermediate",0,0,0,7.3588308983,"yes",0,45,1,"federal_law","CN/NC",3.4339872045,111,5,"optional",779,1570,"1994-02-02","1996-03-22",0,"DEFR",0.43010752688172
"19940028-2","yes","broad",0,0,0,7.6605854617,"no",0,45,2,"federal_law","CE/SC",3.0445224377,104.2,20,"optional",1110,2123,"1994-03-07","1997-03-21",0,"DFJP",0.433729634522237
"19940427-1","yes","no debate",0,0,0,4.0073331852,"yes",1,45,1,"federal_law","CN/NC",2.3978952728,100.7,13,"optional",757,55,"1996-09-12","1998-10-09",0,"DFI",0.563218390804598
"19940441-1","yes","narrow",0,0,0,5.4889377262,"yes",1,46,1,"federal_law","CN/NC",2.3978952728,101.5,12,"optional",578,242,"1999-08-23","2001-03-23",0,"DFJP",0.707182320441989
"19950015-2","yes","broad",0,0,0,7.4759059694,"no",0,45,2,"federal_law","CN/NC",2.3978952728,93,16,"optional",667,1765,"1995-02-15","1996-12-13",0,"DDPS",0.264857881136951
"19950016-1","yes","intermediate",0,0,0,6.7878449823,"no",0,45,1,"federal_law","CN/NC",2.3978952728,92.8,18,"optional",660,887,"1995-02-22","1996-12-13",0,"DEFR",0.234042553191489
"19950019-1","yes","no debate",0,0,1,7.1708884785,"no",0,45,1,"federal_law","CE/SC",0,96,3,"optional",387,1301,"1995-03-01","1996-03-22",0,"DFI",0.459396751740139
"19950024-1","yes","intermediate",0,0,0,7.7756957499,"yes",0,45,3,"federal_law","CN/NC",3.0445224377,90.7,12,"optional",555,2382,"1995-03-29","1996-10-04",1,"DFJP",0.142033542976939
"19950024-2","yes","intermediate",0,0,0,6.6846117277,"yes",0,45,3,"federal_law","CN/NC",0,90.7,12,"optional",555,800,"1995-03-29","1996-10-04",0,"DFJP",0.107042253521127
"19950025-1","yes","intermediate",0,0,1,7.668561108,"no",0,45,1,"federal_law","CE/SC",0,92.2,8,"optional",443,2140,"1995-04-05","1996-06-21",1,"DFF",0.201033888569787
"19950031-2","yes","no debate",0,1,0,5.0106352941,"no",0,45,3,"treaty","CN/NC",0,94.3,10,"optional",324,150,"1995-05-03","1996-03-22",0,"DFAE",0.0310077519379846
"19950031-3","yes","no debate",0,0,0,4.2341065046,"yes",0,45,3,"federal_law","CN/NC",0,94.3,10,"optional",324,69,"1995-05-03","1996-03-22",0,"DFAE",0.08
"19950032-1","yes","narrow",0,1,0,3.4339872045,"no",0,45,1,"treaty","CE/SC",0,100.2,19,"optional",232,31,"1995-05-03","1995-12-21",0,"DFAE",0.2
"19950036-1","no","intermediate",0,0,1,3.8066624898,"no",0,45,1,"simple_federal_decree","CE/SC",0,99.9,14,"none",216,45,"1995-05-17","1995-12-19",0,"DFF",0
"19950039-1","yes","narrow",0,0,0,3.7841896339,"yes",0,45,1,"federal_law","CN/NC",0,93.4,18,"optional",303,44,"1995-05-24","1996-03-22",0,"DEFR",0
"19950041-1","no","intermediate",0,0,0,4.0253516907,"no",0,45,1,"simple_federal_decree","CE/SC",0,99,19,"none",202,56,"1995-05-31","1995-12-19",0,"DEFR",0
"19950043-1","no","no debate",0,0,0,4.189654742,"no",0,45,1,"simple_federal_decree","CE/SC",0,92.7,20,"none",282,66,"1995-06-06","1996-03-14",0,"DFJP",0.0909090909090909
"19950047-1","yes","narrow",0,0,1,2.4849066498,"yes",0,45,1,"federal_law","CN/NC",0,89.2,1,"optional",219,12,"1995-08-16","1996-03-22",0,"DFF",0.0833333333333334
"19950048-1","yes","intermediate",0,0,0,3.258096538,"yes",0,45,7,"federal_law","CE/SC",0,88.9,4,"optional",360,26,"1995-06-27","1996-06-21",0,"DEFR",0.12
"19950048-2","yes","intermediate",0,0,0,3.1780538303,"yes",0,45,7,"federal_law","CE/SC",0,88.9,4,"optional",360,24,"1995-06-27","1996-06-21",0,"DEFR",0
"19950048-3","yes","intermediate",0,0,0,5.4806389233,"yes",0,45,7,"federal_law","CE/SC",0,88.9,4,"optional",360,240,"1995-06-27","1996-06-21",0,"DEFR",0.475155279503106
"19950048-4","yes","intermediate",0,0,0,6.8721281013,"yes",0,45,7,"federal_law","CE/SC",0,88.9,4,"optional",360,965,"1995-06-27","1996-06-21",0,"DEFR",0.216182048040455
"19950048-6","yes","intermediate",0,0,0,5.2040066871,"yes",0,45,7,"federal_law","CE/SC",0,88.9,4,"optional",360,182,"1995-06-27","1996-06-21",0,"DEFR",0.0177514792899408
"19950048-7","yes","intermediate",0,0,0,4.7706846245,"yes",0,45,7,"federal_law","CE/SC",0,88.9,7,"optional",360,118,"1995-06-27","1996-06-21",0,"DEFR",0.317073170731707
"19950054-1","no","intermediate",0,0,1,4.248495242,"no",0,45,1,"simple_federal_decree","CE/SC",0,89.8,1,"none",50,70,"1995-10-18","1995-12-07",0,"DETEC",0
"19950056-1","yes","narrow",0,0,0,2.8903717579,"no",0,45,1,"federal_law","CN/NC",0,96,20,"optional",127,18,"1995-08-16","1995-12-21",0,"DFJP",0
"19950057-1","yes","broad",0,0,1,4.2046926194,"no",0,45,1,"federal_law","CE/SC",0,89.2,1,"optional",219,67,"1995-08-16","1996-03-22",0,"DFF",0.72972972972973
"19950059-1","yes","broad",0,0,1,7.0449051171,"yes",0,45,1,"federal_law","CE/SC",0,88.2,8,"optional",485,1147,"1995-08-16","1996-12-13",0,"DETEC",0.457950530035336
"19950060-1","yes","intermediate",0,1,1,4.4773368145,"no",0,45,1,"treaty","CE/SC",0,86.2,2,"optional",408,88,"1995-08-23","1996-10-04",0,"DFI",0.0987654320987654
"19950065-1","no","no debate",0,0,0,4.4543472963,"no",0,45,1,"simple_federal_decree","CN/NC",0,95.1,18,"none",100,86,"1995-09-05","1995-12-14",0,"DEFR",0
"19950070-1","yes","narrow",0,0,0,3.7135720667,"yes",0,45,1,"federal_law","CN/NC",0,82.6,6,"optional",216,41,"1995-11-18","1996-06-21",1,"DFJP",0
"19950071-1","yes","intermediate",0,0,1,7.4139702902,"no",0,45,1,"federal_law","CE/SC",0,83.2,10,"optional",240,1659,"1995-10-25","1996-06-21",1,"DFF",0.225525743292241
"19950082-1","yes","narrow",0,0,0,7.3421317306,"yes",0,45,1,"federal_law","CE/SC",0,83,3,"optional",317,1544,"1995-11-22","1996-10-04",0,"DFF",0.261832061068702
"19950088-1","yes","intermediate",0,0,0,8.5915582734,"no",0,45,2,"federal_law","CN/NC",3.0445224377,96,9,"optional",935,5386,"1995-12-04","1998-06-26",0,"DFJP",0.333538461538462
"19950088-2","yes","intermediate",0,0,0,6.5889264775,"yes",0,45,2,"federal_law","CN/NC",0,96,9,"optional",935,727,"1995-12-04","1998-06-26",0,"DFJP",0.49235807860262
"19960004-1","no","narrow",0,0,0,2.7725887222,"no",0,45,1,"simple_federal_decree","CE/SC",0,82.2,20,"none",250,16,"1996-01-10","1996-09-16",0,"DFJP",0
"19960007-1","yes","intermediate",0,0,0,7.6718267979,"no",0,45,1,"federal_law","CE/SC",2.3978952728,92.8,7,"optional",513,2147,"1996-01-24","1997-06-20",0,"DFJP",0.298435619735259
"19960011-1","no","intermediate",0,0,1,2.9957322736,"no",0,45,1,"simple_federal_decree","CN/NC",0,86.5,10,"none",64,20,"1996-04-17","1996-06-20",0,"DETEC",0.315789473684211
"19960013-1","no","no debate",0,0,0,4.3694478525,"no",0,45,1,"simple_federal_decree","CE/SC",0,82.6,20,"none",229,79,"1996-01-31","1996-09-16",0,"DFJP",0.0566037735849056
"19960019-1","no","no debate",0,0,0,3.4011973817,"no",0,45,1,"simple_federal_decree","CN/NC",0,82.8,18,"none",113,30,"1996-02-21","1996-06-13",0,"DEFR",0.233333333333333
"19960021-1","yes","intermediate",0,0,0,6.7056390949,"no",0,45,2,"federal_law","CE/SC",0,89.6,14,"optional",387,817,"1996-02-28","1997-03-21",0,"DEFR",0.388040712468193
"19960021-2","yes","intermediate",0,0,0,5.6347896032,"no",0,45,2,"federal_law","CE/SC",0,89.6,14,"optional",387,280,"1996-02-28","1997-03-21",0,"DEFR",0.156363636363636
"19960022-1","no","intermediate",0,0,1,4.0943445622,"no",0,45,1,"simple_federal_decree","CN/NC",0,82.9,16,"none",199,60,"1996-03-11","1996-09-26",0,"DDPS",0
"19960024-1","yes","narrow",0,0,1,3.0910424534,"no",0,45,1,"federal_law","CN/NC",0,87.2,13,"optional",270,22,"1996-03-18","1996-12-13",0,"DFI",0.217391304347826
"19960026-2","yes","narrow",0,0,0,5.5451774445,"yes",0,45,2,"federal_law","CN/NC",0,83.8,15,"optional",191,256,"1996-03-27","1996-10-04",1,"DFJP",0.0714285714285714
"19960031-1","no","narrow",0,0,0,3.0910424534,"no",0,45,1,"simple_federal_decree","CE/SC",0,87.9,15,"none",218,22,"1996-04-24","1996-11-28",0,"DFF",0
"19960033-1","yes","intermediate",0,0,0,3.7135720667,"no",0,45,2,"federal_law","CN/NC",0,88.4,19,"optional",51,41,"1996-05-01","1996-06-21",0,"DFAE",0.0851063829787234
"19960033-2","no","intermediate",0,0,0,4.0775374439,"no",0,45,2,"simple_federal_decree","CN/NC",0,88.4,19,"none",48,59,"1996-05-01","1996-06-18",0,"DFAE",0.0851063829787234
"19960034-2","yes","narrow",0,0,1,5.6204008657,"yes",0,45,2,"federal_law","CN/NC",0,89.4,16,"optional",226,276,"1996-05-01","1996-12-13",0,"DDPS",0.13953488372093
"19960036-1","no","narrow",0,0,0,3.4011973817,"no",0,45,1,"simple_federal_decree","CN/NC",0,88.2,19,"none",196,30,"1996-05-15","1996-11-27",0,"DFAE",0
"19960040-1","yes","intermediate",0,0,0,6.154858094,"yes",0,45,1,"federal_law","CE/SC",2.3978952728,100,14,"optional",667,471,"1996-05-22","1998-03-20",0,"DFJP",0.651975683890577
"19960041-1","no","intermediate",0,0,0,4.2195077052,"no",0,45,1,"simple_federal_decree","CE/SC",0,89.6,20,"none",202,68,"1996-05-22","1996-12-10",0,"DEFR",0.8
"19960043-1","no","narrow",0,0,0,2.9957322736,"no",0,45,1,"simple_federal_decree","CE/SC",0,89.8,6,"none",198,20,"1996-05-29","1996-12-13",0,"DFAE",0
"19960045-1","yes","narrow",0,0,0,4.4773368145,"yes",0,45,1,"federal_law","CE/SC",0,85.2,18,"optional",128,88,"1996-05-29","1996-10-04",0,"DEFR",0.038961038961039
"19960047-1","no","narrow",0,0,0,4.127134385,"no",0,45,1,"simple_federal_decree","CN/NC",0,88.6,14,"none",175,62,"1996-06-10","1996-12-02",0,"DFF",0
"19960048-1","yes","broad",0,0,1,7.924795914,"no",0,45,1,"federal_law","CN/NC",3.0445224377,94.6,17,"optional",324,2765,"1996-06-10","1997-04-30",0,"DETEC",0.287556904400607
"19960049-1","yes","broad",0,0,1,6.9285378182,"no",0,45,1,"federal_law","CN/NC",3.0445224377,94.6,20,"optional",324,1021,"1996-06-10","1997-04-30",1,"DETEC",0.207161125319693
"19960050-2","yes","broad",0,0,1,7.0039741367,"no",0,45,2,"federal_law","CN/NC",3.0445224377,94.6,17,"optional",324,1101,"1996-06-10","1997-04-30",0,"DETEC",0.18953323903819
"19960055-1","yes","intermediate",0,0,0,7.5368971296,"no",0,45,1,"federal_law","CN/NC",3.0445224377,99.1,12,"optional",480,1876,"1996-06-17","1997-10-10",1,"DFF",0.279319041614124
"19960057-1","yes","intermediate",0,0,0,6.5496507422,"yes",0,45,1,"federal_law","CN/NC",2.3978952728,99.1,17,"optional",480,699,"1996-06-17","1997-10-10",0,"DFJP",0.389396709323583
"19960058-2","yes","narrow",1,0,0,7.4627891574,"no",0,45,2,"federal_law","CE/SC",3.0445224377,99.5,3,"optional",905,1742,"1996-06-26","1998-12-18",0,"DFJP",0.254509018036072
"19960059-1","yes","broad",0,0,1,5.1119877884,"yes",0,45,3,"constitutional_amendment","CE/SC",2.3978952728,100.8,10,"mandatory",632,166,"1996-06-26","1998-03-20",0,"DETEC",0.870481927710843
"19960059-2","yes","broad",0,0,1,6.2225762681,"yes",0,45,3,"federal_law","CE/SC",3.4339872045,100.8,10,"optional",632,504,"1996-06-26","1998-03-20",0,"DETEC",0.705639614855571
"19960067-1","yes","broad",0,0,1,7.3198649298,"no",0,45,2,"federal_law","CN/NC",3.0445224377,101.8,8,"optional",674,1510,"1996-08-21","1998-06-26",0,"DETEC",0.351551956815115
"19960069-1","no","intermediate",0,0,1,4.4067192473,"no",0,45,1,"simple_federal_decree","CN/NC",0,103.3,1,"none",35,82,"1996-10-30","1996-12-04",0,"DETEC",0
"19960072-1","yes","intermediate",0,0,1,6.4738906964,"no",0,45,1,"federal_law","CE/SC",0,101.1,7,"optional",289,648,"1996-09-04","1997-06-20",1,"DFI",0.308270676691729
"19960073-1","no","no debate",0,0,0,4.2195077052,"no",0,45,1,"simple_federal_decree","CE/SC",0,96.4,18,"none",97,68,"1996-09-04","1996-12-10",0,"DEFR",0
"19960078-4","no","intermediate",0,0,0,3.1780538303,"no",0,45,6,"simple_federal_decree","CE/SC",2.3978952728,97.1,4,"none",84,24,"1996-09-16","1996-12-09",0,"DEFR",0.571428571428571
"19960082-1","yes","narrow",0,0,0,4.8520302639,"yes",0,45,1,"federal_law","CE/SC",0,97.3,20,"optional",179,128,"1996-09-23","1997-03-21",0,"DFF",0.0576923076923077
"19960090-1","yes","intermediate",0,0,1,6.9117473003,"no",0,45,5,"federal_law","CE/SC",3.4339872045,104.8,10,"optional",492,1004,"1996-11-13","1998-03-20",1,"DETEC",0.553558590941769
"19960090-2","yes","intermediate",0,0,1,5.3798973535,"yes",0,45,5,"federal_law","CE/SC",3.4339872045,104.8,10,"optional",492,217,"1996-11-13","1998-03-20",1,"DETEC",0.362869198312236
"19960090-3","yes","intermediate",0,0,1,4.7184988713,"yes",0,45,5,"federal_law","CE/SC",3.4339872045,104.8,10,"optional",492,112,"1996-11-13","1998-03-20",1,"DETEC",0.594771241830065
"19960090-4","yes","intermediate",0,0,1,6.5708829623,"no",0,45,5,"federal_law","CE/SC",3.4339872045,104.8,10,"optional",492,714,"1996-11-13","1998-03-20",1,"DETEC",0.489409141583055
"19960090-5","yes","intermediate",0,0,1,4.8283137373,"no",0,45,5,"federal_law","CE/SC",3.4339872045,104.8,10,"optional",492,125,"1996-11-13","1998-03-20",1,"DETEC",0.317460317460317
"19960092-1","no","intermediate",0,0,0,4.4998096703,"no",0,45,1,"simple_federal_decree","CN/NC",0,103.6,19,"none",195,90,"1996-11-20","1997-06-03",0,"DFAE",0
"19960093-1","no","narrow",0,0,1,4.4659081187,"no",0,45,1,"simple_federal_decree","CN/NC",0,104.1,18,"none",210,87,"1996-11-20","1997-06-18",0,"DFI",0
"19960094-1","yes","intermediate",0,0,1,7.1220598816,"yes",0,45,1,"federal_law","CN/NC",0,104.1,13,"optional",212,1239,"1996-11-20","1997-06-20",0,"DFI",0.27338782924614
"19960096-1","no","no debate",0,0,0,4.248495242,"no",0,45,1,"simple_federal_decree","CE/SC",0,103.6,20,"none",192,70,"1996-11-25","1997-06-05",0,"DFJP",0
"19960099-1","yes","narrow",0,0,0,3.9889840466,"yes",0,45,2,"federal_law","CN/NC",0,103.5,9,"optional",193,54,"1996-12-09","1997-06-20",0,"DFJP",0.275862068965517
"19960099-2","yes","narrow",0,0,0,3.1354942159,"yes",0,45,2,"federal_law","CN/NC",0,103.5,9,"optional",193,23,"1996-12-09","1997-06-20",0,"DFJP",0
"19960115-1","yes","intermediate",0,0,0,5.5451774445,"no",0,45,2,"federal_law","CE/SC",0,104.7,15,"optional",305,256,"1996-12-09","1997-10-10",0,"DEFR",0.46551724137931
"19960117-1","yes","intermediate",0,0,0,3.5553480615,"no",0,45,1,"federal_law","CN/NC",0,105.1,19,"optional",296,35,"1996-12-18","1997-10-10",0,"DFAE",0.4
"19960400-1","yes","narrow",0,0,0,4.189654742,"no",1,45,2,"federal_law","CN/NC",0,83.5,20,"optional",196,66,"1996-03-22","1996-10-04",0,"ChF",0.72108843537415
"19960429-1","yes","narrow",0,0,0,3.6375861597,"yes",1,45,1,"federal_law","CE/SC",0,106.1,13,"optional",312,38,"1997-05-12","1998-03-20",0,"DFI",0.0571428571428572
"19960460-1","yes","narrow",0,0,0,3.4011973817,"yes",1,46,1,"federal_law","CN/NC",3.0445224377,94.4,13,"optional",52,30,"2000-10-24","2000-12-15",0,"DFI",0.333333333333333
"19960464-1","yes","intermediate",1,0,0,5.96870756,"yes",1,46,1,"federal_law","CN/NC",0,146.5,12,"optional",340,391,"2002-10-28","2003-10-03",0,"DFJP",0.383435582822086
"19970011-1","no","narrow",0,0,1,2.9444389792,"no",0,45,1,"simple_federal_decree","CE/SC",0,107.7,10,"none",160,19,"1997-04-16","1997-09-23",0,"DETEC",0
"19970015-1","no","no debate",0,0,0,3.4965075615,"yes",0,45,1,"simple_federal_decree","CE/SC",0,108.1,15,"none",230,33,"1997-02-19","1997-10-07",0,"DEFR",0
"19970016-1","no","intermediate",0,0,0,3.6888794541,"no",0,45,1,"simple_federal_decree","CE/SC",0,108.7,14,"none",287,40,"1997-02-19","1997-12-03",0,"DEFR",0
"19970017-1","yes","intermediate",0,0,1,6.9177056098,"no",0,45,1,"federal_law","CE/SC",0,104.6,20,"optional",485,1010,"1997-02-26","1998-06-26",0,"DFI",0.343157894736842
"19970018-1","yes","intermediate",1,0,0,7.7306140661,"no",0,45,1,"federal_law","CE/SC",3.0445224377,102.5,15,"optional",660,2277,"1997-02-26","1998-12-18",0,"DFJP",0.452024647887324
"19970019-1","no","no debate",0,0,0,4.127134385,"no",0,45,1,"simple_federal_decree","CN/NC",0,110.1,18,"none",111,62,"1997-02-26","1997-06-17",0,"DEFR",0
"19970020-1","no","intermediate",0,0,0,3.9318256327,"no",0,45,1,"simple_federal_decree","CN/NC",0,107.9,4,"none",204,51,"1997-03-03","1997-09-23",0,"DEFR",0.152173913043478
"19970021-1","yes","intermediate",0,0,0,5.4930614433,"yes",0,45,1,"federal_law","CN/NC",0,110.6,15,"optional",95,243,"1997-03-17","1997-06-20",0,"DFF",0.0229885057471264
"19970022-1","yes","broad",0,0,0,7.0255383146,"yes",0,45,1,"federal_law","CN/NC",3.4339872045,108.7,1,"optional",198,1125,"1997-03-26","1997-10-10",0,"DFF",0.641444539982803
"19970023-1","no","intermediate",0,0,1,4.0943445622,"no",0,45,1,"simple_federal_decree","CN/NC",0,108.4,16,"none",203,60,"1997-03-17","1997-10-06",0,"DDPS",0
"19970024-1","no","intermediate",0,0,1,4.3820266347,"no",0,45,1,"simple_federal_decree","CE/SC",0,108.1,16,"none",182,80,"1997-03-26","1997-09-24",0,"DDPS",0.0555555555555556
"19970027-4","yes","broad",0,0,0,5.7525726388,"yes",0,45,6,"federal_law","CN/NC",0,112.9,12,"optional",35,315,"1997-03-26","1997-04-30",0,"DEFR",0.186495176848875
"19970029-1","yes","no debate",0,1,0,3.5835189385,"no",0,45,1,"treaty","CN/NC",0,109.1,7,"optional",277,36,"1997-03-17","1997-12-19",0,"DFAE",0.121212121212121
"19970034-1","yes","intermediate",0,0,1,5.5294290875,"no",0,45,1,"federal_law","CN/NC",0,108.4,20,"optional",177,252,"1997-04-16","1997-10-10",0,"DDPS",0.375510204081633
"19970035-1","yes","intermediate",0,0,1,3.4339872045,"yes",0,45,1,"constitutional_amendment","CN/NC",3.0445224377,103.9,3,"mandatory",429,31,"1997-04-23","1998-06-26",0,"DFI",0.6
"19970036-1","yes","intermediate",0,0,1,5.0039463059,"no",0,45,1,"federal_law","CE/SC",0,106.1,1,"optional",323,149,"1997-05-01","1998-03-20",0,"DFI",0.368794326241135
"19970038-1","yes","no debate",0,1,0,3.8501476017,"no",0,45,1,"treaty","CN/NC",0,108.8,19,"optional",219,47,"1997-05-14","1997-12-19",0,"DFAE",0.212765957446808
"19970040-1","yes","intermediate",0,0,1,5.3230099791,"no",0,45,2,"federal_law","CE/SC",0,103.5,20,"optional",401,205,"1997-05-21","1998-06-26",0,"DFI",0.639896373056995
"19970040-2","no","intermediate",0,0,1,3.36729583,"no",0,45,2,"simple_federal_decree","CE/SC",0,103.5,20,"none",401,29,"1997-05-21","1998-06-26",0,"DFI",0
"19970041-1","no","no debate",0,0,0,4.127134385,"no",0,45,1,"simple_federal_decree","CE/SC",0,108.6,20,"none",197,62,"1997-05-21","1997-12-04",0,"DFJP",0.210526315789474
"19970042-1","yes","intermediate",0,0,0,5.342334252,"yes",0,45,1,"constitutional_amendment","CN/NC",2.3978952728,108.2,1,"mandatory",186,209,"1997-06-16","1997-12-19",0,"DFF",0.343096234309623
"19970046-1","yes","intermediate",0,0,1,6.0161571597,"yes",0,45,1,"federal_law","CN/NC",2.3978952728,103.4,10,"optional",394,410,"1997-05-28","1998-06-26",0,"DETEC",0.549348230912477
"19970047-1","no","intermediate",0,0,0,3.2188758249,"no",0,45,1,"simple_federal_decree","CN/NC",0,108.1,19,"none",182,25,"1997-06-02","1997-12-01",0,"DFAE",0
"19970052-1","yes","intermediate",0,0,1,6.3919171134,"yes",0,45,3,"federal_law","CE/SC",2.3978952728,103,13,"optional",366,597,"1997-06-25","1998-06-26",0,"DFI",0.381967213114754
"19970052-2","yes","intermediate",0,0,1,4.0943445622,"no",0,45,3,"federal_law","CE/SC",0,107.3,13,"optional",107,60,"1997-06-25","1997-10-10",0,"DFI",0.203703703703704
"19970054-1","no","narrow",0,0,0,4.1431347264,"no",0,45,1,"simple_federal_decree","CE/SC",0,108.7,14,"none",176,63,"1997-06-25","1997-12-18",0,"DFF",0
"19970055-1","yes","broad",1,0,1,7.0030654588,"no",0,45,2,"federal_law","CE/SC",3.4339872045,101,13,"optional",541,1100,"1997-06-25","1998-12-18",0,"DFI",0.453125
"19970058-2","no","narrow",0,0,0,3.295836866,"no",0,45,2,"simple_federal_decree","CN/NC",0,111.4,10,"none",117,27,"1997-08-13","1997-12-08",0,"DFAE",0
"19970063-3","no","intermediate",0,0,1,3.9120230054,"no",0,45,3,"simple_federal_decree","CE/SC",0,112,1,"none",55,50,"1997-10-22","1997-12-16",0,"DETEC",0.111111111111111
"19970065-1","no","no debate",0,0,0,4.127134385,"no",0,45,1,"simple_federal_decree","CN/NC",0,112.3,18,"none",103,62,"1997-09-03","1997-12-15",0,"DEFR",0
"19970066-1","no","narrow",0,0,1,4.127134385,"no",0,45,1,"simple_federal_decree","CE/SC",0,103,18,"none",294,62,"1997-09-03","1998-06-24",0,"DFI",0.291666666666667
"19970068-1","no","narrow",0,0,0,4.0775374439,"no",0,45,1,"simple_federal_decree","CN/NC",0,106.7,15,"none",182,59,"1997-09-10","1998-03-11",0,"DFF",0
